year,raceId,driverId,driverRef,constructorId,constructorRef,wins,laps,fastestLapSpeed,fastestLap,milliseconds,seconds,minutes
2018,1006,1,hamilton,131,mercedes,19,56,203.782,40,5660985,5660.985,94.34975
2018,1007,1,hamilton,131,mercedes,19,71,191.933,49,5987589,5987.589,99.79315
2018,1008,1,hamilton,131,mercedes,19,71,216.065,70,5229066,5229.066,87.1511
2018,1009,1,hamilton,131,mercedes,19,55,197.267,53,5980382,5980.382,99.67303
2019,1010,1,hamilton,131,mercedes,19,58,221.839,57,5148211,5148.211,85.80352
2019,1011,1,hamilton,131,mercedes,19,57,208.314,36,5661295,5661.295,94.35492
2019,1012,1,hamilton,131,mercedes,19,56,204.642,47,5526350,5526.35,92.10583
2019,1013,1,hamilton,131,mercedes,19,51,207.465,48,5514466,5514.466,91.90777
2019,1014,1,hamilton,131,mercedes,19,66,213.499,54,5750443,5750.443,95.84072
2019,1015,1,hamilton,131,mercedes,19,78,157.721,9,6208437,6208.437,103.474
2019,1016,1,hamilton,131,mercedes,19,70,209.851,62,5347084,5347.084,89.11807
2019,1017,1,hamilton,131,mercedes,19,53,226.717,53,5071198,5071.198,84.51997
2019,1018,1,hamilton,131,mercedes,19,71,228.432,69,4944627,4944.627,82.41045
2019,1019,1,hamilton,131,mercedes,19,52,242.735,52,4868452,4868.452,81.14087
2019,1020,1,hamilton,131,mercedes,19,64,208.935,64,6290942,6290.942,104.849
2019,1021,1,hamilton,131,mercedes,19,70,200.84,60,5703796,5703.796,95.06327
2019,1022,1,hamilton,131,mercedes,19,44,236.577,24,5026691,5026.691,83.77818
2019,1023,1,hamilton,131,mercedes,19,53,255.014,51,4561864,4561.864,76.03107
2019,1024,1,hamilton,131,mercedes,19,61,173.73,58,7118275,7118.275,118.6379
2019,1025,1,hamilton,131,mercedes,19,53,219.847,51,5618992,5618.992,93.64987
2019,1026,1,hamilton,131,mercedes,19,52,229.77,45,4920613,4920.613,82.01022
2019,1027,1,hamilton,131,mercedes,19,71,194.993,66,5808904,5808.904,96.81507
2019,1028,1,hamilton,131,mercedes,19,56,201.6,26,5639801,5639.801,93.99668
2019,1029,1,hamilton,131,mercedes,19,71,218.232,46,5605817,5605.817,93.43028
2019,1030,1,hamilton,131,mercedes,19,55,201.387,53,5645715,5645.715,94.09525
2020,1031,1,hamilton,131,mercedes,19,71,229.572,67,5461428,5461.428,91.0238
2020,1032,1,hamilton,131,mercedes,19,71,232.989,68,4970683,4970.683,82.84472
2020,1033,1,hamilton,131,mercedes,19,70,205.823,70,5772473,5772.473,96.20788
2020,1034,1,hamilton,131,mercedes,19,52,237.652,45,5281283,5281.283,88.02138
2020,1035,1,hamilton,131,mercedes,19,52,239.766,43,4793319,4793.319,79.88865
2020,1036,1,hamilton,131,mercedes,19,66,209.942,63,5505279,5505.279,91.75465
2020,1037,1,hamilton,131,mercedes,19,44,233.99,28,5048761,5048.761,84.14602
2020,1038,1,hamilton,131,mercedes,19,53,252.033,34,6443301,6443.301,107.3884
2020,1039,1,hamilton,131,mercedes,19,59,239.518,58,8375060,8375.06,139.5843
