PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20120831,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,65,55,230.81000,248.27000,248.27000,632852,0.064166,248.23000,248.28999,452065,1,1,248.27000,,20120831,0.064166,0.026337,0.023737,0.024820,0.022964,0.019763
84788,20120928,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20121011,,,,,1,6,66,55,246.22000,261.67999,254.32001,669884,0.024369,254.32001,254.49001,453000,1,1,254.32001,,20120928,0.024369,0.026532,0.024583,0.034925,0.032690,0.024236
84788,20121031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20121230,,,,,1,6,63,55,222.92000,260.47000,232.89310,854023,-0.084252,233.00999,233.08000,452959,1,1,232.89310,,20121031,-0.084252,-0.014064,-0.015511,-0.013477,-0.014781,-0.019789
84788,20121130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,64,55,220.59900,252.05000,252.05000,648892,0.082256,251.92000,252.05000,452959,1,1,252.05000,,20121130,0.082256,0.006219,0.002978,0.002790,0.000142,0.002847
84788,20121231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130117,,,,,1,6,65,55,245.17999,261.50000,250.87000,622229,-0.004682,251.27000,251.28000,454000,1,1,250.87000,,20121231,-0.004682,0.012580,0.009031,0.021872,0.016406,0.007068
84788,20130131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130221,,,,,1,6,66,55,257.31000,283.98999,265.50000,886216,0.058317,265.50000,265.56000,454551,1,1,265.50000,,20130131,0.058317,0.054189,0.052983,0.063509,0.062680,0.050428
84788,20130228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130327,,,,,1,6,64,55,257.20999,269.75000,264.26999,721653,-0.004633,264.13000,264.17001,454967,1,1,264.26999,,20130228,-0.004633,0.008284,0.006081,0.003491,0.002051,0.011061
84788,20130328,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130411,,,,,1,6,63,55,253.39000,275.59000,266.48999,622783,0.008401,266.39999,266.48001,455000,1,1,266.48999,,20130328,0.008401,0.035320,0.033552,0.031419,0.029529,0.035988
84788,20130430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130627,,,,,1,6,63,55,249.74001,274.70001,253.81000,822621,-0.047581,253.78999,253.80000,455243,1,1,253.81000,,20130430,-0.047581,0.014942,0.013768,0.002477,0.001376,0.018086
84788,20130531,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,64,55,248.23000,269.89999,269.20001,629395,0.060636,269.00000,269.04001,455243,1,1,269.20001,,20130531,0.060636,0.019155,0.016594,0.023985,0.022131,0.020763
84788,20130628,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130711,,,,,1,6,63,55,265.70001,281.76001,277.69000,625412,0.031538,277.69000,277.70001,457000,1,1,277.69000,,20130628,0.031538,-0.015071,-0.017088,-0.013012,-0.015631,-0.014999
84788,20130731,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130929,,,,,1,6,61,55,282.10001,312.01001,301.22000,712775,0.084735,301.26001,301.26999,456884,1,1,301.22000,,20130731,0.084735,0.052690,0.051255,0.054898,0.053720,0.049462
84788,20130830,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,61,55,280.92999,305.57001,280.98001,463909,-0.067193,280.82999,280.98999,456884,1,1,280.98001,,20130830,-0.067193,-0.025761,-0.027938,-0.017278,-0.019029,-0.031298
84788,20130930,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20131010,,,,,1,6,64,55,288.79999,318.12000,312.64001,464037,0.112677,312.63000,312.84000,458000,1,1,312.64001,,20130930,0.112677,0.037514,0.035716,0.051828,0.049754,0.029749
84788,20131031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20131230,,,,,1,6,64,55,298.23001,364.03000,364.03000,823283,0.164374,364.01001,364.04999,457734,1,1,364.03000,,20131031,0.164374,0.039908,0.038623,0.025762,0.024591,0.044596
84788,20131129,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,62,55,343.56000,393.62000,393.62000,576040,0.081285,393.62000,393.73999,457734,1,1,393.62000,,20131129,0.081285,0.024973,0.022848,0.023398,0.021660,0.028049
84788,20131231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140114,,,,,1,6,62,55,381.25000,404.39001,398.79001,562732,0.013135,398.28000,398.82999,459000,1,1,398.79001,,20131231,0.013135,0.026160,0.024103,0.025242,0.022010,0.023563
84788,20140131,20200318,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140220,,,,,1,6,63,55,358.69000,407.04999,358.69000,811011,-0.100554,358.54001,358.62000,459265,1,1,358.69000,,20140131,-0.100554,-0.030047,-0.031152,-0.001282,-0.002254,-0.035583
84788,20140228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140330,,,,,1,6,63,55,346.14999,362.10001,362.10001,831240,0.009507,361.91000,362.10001,459894,1,1,362.10001,,20140228,0.009507,0.046225,0.043990,0.044257,0.042687,0.043117
84788,20140331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140415,,,,,1,6,62,55,336.36499,378.76999,336.36499,753679,-0.071072,336.35999,336.51999,460000,1,1,336.36499,,20140331,-0.071072,0.004544,0.002823,0.001028,-0.001095,0.006932
84788,20140430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20140629,,,,,1,6,62,55,296.57999,342.98999,304.13000,1383566,-0.095833,303.91000,304.16000,460167,1,1,304.13000,,20140430,-0.095833,0.001569,0.000406,-0.022319,-0.023436,0.006201
